Business ID,,8109,8113,8115,8117,8221,7135,8121,8123,8223,8125,8225,8129,8227,8133,8229,8137,8231,8143,8233,8147,8235,8151,8237,8155,8157,8239,8161,8241,8165,8243,8245,8171,8247,8175,8177,8179,8181,8183,8185,8187,8189
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,3VL,3VL,2x 3VL,3VL,3VL,2x 3VL,2x 3VL,3VL,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,3VL,2x 3VL,3VL,2x 3VL,N +6SH,2x 3VL,3VL,N +6LH,2x 3VL,2x 3VL,2x 3VL,N +6SH,2x 3VL,2x 3VL,N +6LH,2x 3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,ON,"8702
ROCKBANK,,05:31,06:37,07:54,08:43*,09:05,,09:42*,,10:05,10:42*,11:05,11:42*,12:05,12:42*,13:05,13:42*,14:05,14:42*,15:05,15:43*,16:05,16:22*,16:41,16:54*,,17:07,17:17*,17:28,17:33*,17:49*,18:03,18:12*,18:31,18:47*,19:45,20:18,20:57,21:44,22:22,23:22,00:22
,Plat,1,1,2,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MELTON,,05:36,06:43/06:44,08:00/08:03,08:47,09:10,,09:47,,10:10,10:47,11:10,11:47,12:10,12:47,13:10,13:47,14:10,14:47,15:10,15:48,16:13,16:25*,16:47,16:57*,,17:17,17:19*,17:34,17:37,17:54,18:08,18:14*,18:39,18:51/18:52,19:50,20:23,21:02,21:49,22:27,23:27,00:27
,Plat,1,2,2,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1
BACCHUS MARSH,,05:44,06:57,08:27,09:01,09:21,,10:01,,10:21,11:01,11:21,12:01,12:21,13:01,13:21,14:01,14:21,15:01,15:21,16:00/16:03DV,,16:34,17:00,17:04*,,,17:27,,17:45,18:09,18:18,18:22,18:53,18:59,19:59,20:31,21:10,21:57,22:35,23:35,00:35
BALLAN,,06:06,07:19,08:52,09:18,,,10:18,,,11:18,,12:18,,13:18,,14:18,,15:18,,16:25,,16:51,,17:21,,,17:44,,18:02,,,18:40,,19:16,20:16,20:49,21:27,22:18,22:52,23:52,00:52
BALLARAT,Arr,06:35,07:43,09:12,09:39,,,10:39DV,,,11:39,,12:39,,13:39,,14:39,,15:39DV,,16:42,,17:08,,17:38DV,,,18:00,,18:19,,,18:57,,19:33DV,20:33DV,21:05,21:50,22:35,23:09,00:09,01:09
,Dep,06:43,,,09:42,,09:57,10:42DV,10:45,,11:41,,12:41,,13:42,,14:41,,15:42DV,,16:44,,17:10,,17:42DV,17:45,,18:02,,18:22,,,18:59,,19:36DV,20:36DV,21:07,21:52,22:37,23:11,00:11,01:11
,Plat,2,2,2,1,,2,1,1,,1,,1,,1,,1,,2,,1,,1,,2,2,,2,,1,,,2,,1,1,1,1,2,1,1,1
WENDOUREE,,06:51,,,09:46,,10:02,10:51,,,11:51,,12:51,,13:47,,14:51,,15:47,,16:54,,17:19,,17:51,,,18:12,,18:29,,,19:08,,19:41,20:46,21:17,22:00,22:45,23:20,00:20,01:20
BEAUFORT,,,,,10:08,,,,,,,,,,14:09,,,,16:09,,,,,,,,,,,,,,,,20:03,,,,,,,
ARARAT,,,,,10:39,,,,,,,,,,14:39,,,,16:39,,,,,,,,,,,,,,,,20:33,,,,,,,
CRESWICK,,,,,,,,,11:00,,,,,,,,,,,,,,,,,18:00,,,,,,,,,,,,,,,,
CLUNES,,,,,,,,,11:12,,,,,,,,,,,,,,,,,18:12,,,,,,,,,,,,,,,,
TALBOT,,,,,,,,,11:24,,,,,,,,,,,,,,,,,18:24,,,,,,,,,,,,,,,,
MARYBOROUGH,Arr,,,,,,,,11:38,,,,,,,,,,,,,,,,,18:38,,,,,,,,,,,,,,,,
,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plat,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Forms,,"7110
06:55
BAT","7131
08:27
WED","7135
09:57
WED","8148
12:26
SPE","8226
09:29
SPE","8136
10:12
SPE","8140
11:12
SPE","7125
11:41
MLO","8228
10:29
SPE","8144
12:12
SPE","8230
11:29
SPE","7130
12:56
BLO","8232
12:29
SPE","8160
14:49
BAT","8234
13:29
SPE","8156
15:12
SPE","8236
14:29
SPE","8166
16:49
SPE","8238
15:29
SPE","7148
16:57
BLO","8242
16:59
SPE","7152
17:24
BLO","7237
17:08
MDS","7156
17:55
BLO","7157
18:41
MLO","7239
17:23
MDS","7162
18:17
BLO","8244
17:39
SPE","8170
18:50
SPE","7243
18:12
MDS","8246
18:30
SPE","8168
19:14
SPE","7247
18:56
MDS",OFF,"7178
20:50
BTC","8176
21:25
SPE","8178
22:29
SPE","7184
22:50
BLO","7186
23:25
BTC","8180
00:25
SPE","7190
01:25
BTC"
