"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type","Longitude","Latitude","Place Id"
"VIC","MOORABOOL SHIRE","100407","BLAKEVILLE","REGISTERED","LOCB","144.210418","-37.4775121","100393"
"VIC","HEPBURN SHIRE","100408","BLAMPIED","REGISTERED","LOCB","144.0246405","-37.3514143","100394"
"VIC","CASEY CITY","100409","BLIND BIGHT","REGISTERED","LOCB","145.3393167","-38.2122139","100395"
"VIC","BALLARAT CITY","100410","BLOWHARD","REGISTERED","LOCB","143.7868045","-37.4324248","100396"
"VIC","BALLARAT CITY","100411","BO PEEP","REGISTERED","LOCB","143.677189","-37.5350564","100397"
"VIC","PYRENEES SHIRE","100412","BO PEEP","REGISTERED","LOCB","143.6563199","-37.5517299","100398"
"VIC","WANGARATTA RURAL CITY","100413","BOBINAWARRAH","REGISTERED","LOCB","146.4858775","-36.5353075","100399"
"VIC","SOUTHERN GRAMPIANS SHIRE","100414","BOCHARA","REGISTERED","LOCB","141.8993795","-37.6886986","100400"
"VIC","ALPINE SHIRE","100415","BOGONG","REGISTERED","LOCB","147.2239164","-36.7970071","100401"
"VIC","STRATHBOGIE SHIRE","100416","BOHO","REGISTERED","LOCB","145.7842293","-36.6691985","100402"
"VIC","STRATHBOGIE SHIRE","100418","BOHO SOUTH","REGISTERED","LOCB","145.7997785","-36.7757743","100404"
"VIC","BENALLA RURAL CITY","100417","BOHO SOUTH","REGISTERED","LOCB","145.8362565","-36.7725839","100403"
"VIC","BULOKE SHIRE","100419","BOIGBEAT","REGISTERED","LOCB","142.94327","-35.5624545","100405"
"VIC","MILDURA RURAL CITY","100420","BOINKA","REGISTERED","LOCB","141.567111","-35.1576062","100406"
"VIC","WELLINGTON SHIRE","100421","BOISDALE","REGISTERED","LOCB","146.941383","-37.8491714","100407"
"VIC","NORTHERN GRAMPIANS SHIRE","100422","BOLANGUM","REGISTERED","LOCB","142.9872819","-36.7224248","100408"
"VIC","MACEDON RANGES SHIRE","100423","BOLINDA","REGISTERED","LOCB","144.7725738","-37.438182","100409"
"VIC","SWAN HILL RURAL CITY","100424","BOLTON","REGISTERED","LOCB","142.9332265","-34.961576","100410"
"VIC","GLENELG SHIRE","100425","BOLWARRA","REGISTERED","LOCB","141.6110033","-38.2807243","100411"
"VIC","MOORABOOL SHIRE","100426","BOLWARRAH","REGISTERED","LOCB","144.1113125","-37.509024","100412"
"VIC","BAW BAW SHIRE","100427","BONA VISTA","REGISTERED","LOCB","145.964873","-38.2067159","100413"
"VIC","EAST GIPPSLAND SHIRE","100428","BONANG","REGISTERED","LOCB","148.6530656","-37.1433885","100414"
"VIC","KINGSTON CITY","100429","BONBEACH","REGISTERED","LOCB","145.1278818","-38.0629638","100415"
"VIC","WODONGA CITY","100430","BONEGILLA","REGISTERED","LOCB","146.9922953","-36.1444395","100416"
"VIC","MORNINGTON PENINSULA SHIRE","100431","BONEO","REGISTERED","LOCB","144.9056939","-38.408407","100417"
"VIC","CAMPASPE SHIRE","100432","BONN","REGISTERED","LOCB","144.7181934","-36.4131045","100418"
"VIC","MELTON CITY","123258","BONNIE BROOK","REGISTERED","LOCB","144.6710806","-37.6947694","122613"
"VIC","MANSFIELD SHIRE","100434","BONNIE DOON","REGISTERED","LOCB","145.8823865","-37.0141055","100420"
"VIC","BENALLA RURAL CITY","100433","BONNIE DOON","REGISTERED","LOCB","145.9214283","-36.9237902","100419"
"VIC","BALLARAT CITY","100435","BONSHAW","REGISTERED","LOCB","143.8137764","-37.6037605","100421"
"VIC","CORANGAMITE SHIRE","100436","BOOKAAR","REGISTERED","LOCB","143.1101665","-38.1106133","100422"
"VIC","LATROBE CITY","100438","BOOLA","REGISTERED","LOCB","146.4626601","-38.1049528","100424"
"VIC","BAW BAW SHIRE","100437","BOOLA","REGISTERED","LOCB","146.4625678","-38.0509479","100423"
"VIC","SOUTH GIPPSLAND SHIRE","100439","BOOLARONG","REGISTERED","LOCB","146.256132","-38.56548","100425"
"VIC","SOUTH GIPPSLAND SHIRE","100441","BOOLARRA","REGISTERED","LOCB","146.2304578","-38.386923","100427"
"VIC","LATROBE CITY","100440","BOOLARRA","REGISTERED","LOCB","146.2790838","-38.3806442","100426"
"VIC","SOUTH GIPPSLAND SHIRE","100443","BOOLARRA SOUTH","REGISTERED","LOCB","146.2307017","-38.447058","100429"
"VIC","LATROBE CITY","100442","BOOLARRA SOUTH","REGISTERED","LOCB","146.2975149","-38.4477385","100428"
"VIC","EAST GIPPSLAND SHIRE","100444","BOOLE POOLE","REGISTERED","LOCB","147.7899048","-37.8816616","100430"
"VIC","YARRIAMBIACK SHIRE","100445","BOOLITE","REGISTERED","LOCB","142.6816731","-36.3422475","100431"
"VIC","MOIRA SHIRE","100446","BOOMAHNOOMOONAH","REGISTERED","LOCB","146.0990954","-36.124153","100432"
"VIC","SURF COAST SHIRE","100447","BOONAH","REGISTERED","LOCB","143.9798086","-38.4256363","100433"
"VIC","CORANGAMITE SHIRE","100448","BOORCAN","REGISTERED","LOCB","143.0182225","-38.2221233","100434"
"VIC","WANGARATTA RURAL CITY","100449","BOORHAMAN","REGISTERED","LOCB","146.318686","-36.2291621","100435"
"VIC","WANGARATTA RURAL CITY","100450","BOORHAMAN EAST","REGISTERED","LOCB","146.3343979","-36.1626128","100436"
"VIC","WANGARATTA RURAL CITY","100451","BOORHAMAN NORTH","REGISTERED","LOCB","146.245559","-36.1029118","100437"
"VIC","MANSFIELD SHIRE","100452","BOOROLITE","REGISTERED","LOCB","146.204582","-37.1595872","100438"
"VIC","SOUTH GIPPSLAND SHIRE","100453","BOOROOL","REGISTERED","LOCB","146.0505044","-38.4525483","100439"
"VIC","LODDON SHIRE","100454","BOORT","REGISTERED","LOCB","143.7514885","-36.1235835","100440"
"VIC","MOIRA SHIRE","100455","BOOSEY","REGISTERED","LOCB","145.7953644","-36.0508634","100441"
"VIC","WANGARATTA RURAL CITY","100456","BORALMA","REGISTERED","LOCB","146.399518","-36.237517","100442"
"VIC","ARARAT RURAL CITY","100457","BORNES HILL","REGISTERED","LOCB","142.4824781","-37.5294741","100443"
"VIC","KNOX CITY","100458","BORONIA","REGISTERED","LOCB","145.2904121","-37.8569657","100444"
"VIC","LODDON SHIRE","100459","BORUNG","REGISTERED","LOCB","143.7750289","-36.2874653","100445"
"VIC","CORANGAMITE SHIRE","100460","BOSTOCKS CREEK","REGISTERED","LOCB","143.1287375","-38.301706","100446"
"VIC","CASEY CITY","103704","BOTANIC RIDGE","REGISTERED","LOCB","145.2669444","-38.1444444","103558"
